,Model,Colour,Memory,RAM,Battery,Rear_camera_mp,Front_Camera_mp,AI_Lens,Mobile_Height,Processor,Price
264,REDMI Note 12 Pro 5G,Onyx Black,128,6,5000,50MP,16MP,False,16.94,Mediatek Dimensity 1080,23999.0
265,REDMI Note 12,Ice Blue,128,6,5000,50MP,13MP,False,16.94,Snapdragon 685,16999.0
266,realme Narzo 30,Racing Silver,64,4,5000,48MP,16MP,False,16.51,MediaTek Helio G95,13499.0
267,POCO X5 Pro 5G,Astral Black,128,6,5000,108MP,16MP,False,16.94,Qualcomm Snapdragon 778G,21999.0
268,Infinix Hot 12,Exploratory Blue,64,4,6000,50MP,8MP,True,16.71,Meditek Helio G37,8999.0
269,Infinix Hot 12,Polar Black,64,4,6000,50MP,8MP,True,16.71,Meditek Helio G37,8999.0
270,Infinix Hot 12,7Â° Purple,64,4,6000,50MP,8MP,True,16.71,Meditek Helio G37,8999.0
271,Infinix Hot 12,Turquoise Cyan,64,4,6000,50MP,8MP,True,16.71,Meditek Helio G37,8999.0
272,REDMI Note 12 Pro+ 5G,Iceberg Blue,256,4,4980,200MP,16MP,False,16.94,Mediatek Dimensity 1080,13499.0
273,MOTOROLA G32,Mineral Gray,64,4,5000,50MP,16MP,False,16.64,Qualcomm Snapdragon 680,10999.0
274,MOTOROLA g72,Meteorite Grey,128,6,5000,108MP,16MP,False,16.64,Mediatek Helio G99,16999.0
275,Micromax IN 2C,Brown,32,3,5000,8MP,5MP,False,16.56,Unisoc T610,5999.0
276,vivo Y16,Drizzling Gold,128,4,5000,13MP,5MP,False,16.54,Mediatek Helio P35,12990.0
277,MOTOROLA Edge 40,Lunar Blue,256,8,4400,50MP,32MP,False,16.64,Dimensity 8020,29999.0
278,POCO X4 Pro 5G,Yellow,64,6,5000,64MP,16MP,False,16.94,Qualcomm Snapdragon 695 5G,16499.0
279,POCO F5 5G,Carbon Black,256,8,5000,64MP,16MP,False,16.94,Qualcomm Snapdragon 7+ Gen 2 (4nm),29999.0
280,realme 9 Pro+ 5G,Sunrise Blue,256,8,4500,50MP,16MP,False,16.26,Mediatek Dimensity 920,21999.0
281,realme Narzo 50i,Carbon Black,32,2,5000,8MP,5MP,False,16.51,SC9863A,6978.0
282,realme Narzo 50i,Mint Green,32,2,5000,8MP,5MP,False,16.51,SC9863A,7370.0
283,REDMI Note 12 Pro+ 5G,Arctic White,256,2,4980,200MP,16MP,False,16.94,Mediatek Dimensity 1080,13499.0
284,MOTOROLA e13,Creamy White,64,2,5000,13MP,5MP,False,16.51,Unisoc T606,6799.0
285,SAMSUNG Galaxy F23 5G,Forest Green,128,4,5000,50MP,8MP,False,16.76,Qualcomm Snapdragon 750G,15999.0
286,SAMSUNG Galaxy Z Flip3 5G,Phantom Black,128,8,3300,12MP,10MP,False,17.02,Qualcomm Snapdragon 888 Octa-Core,13499.0
287,POCO M4 Pro 5G,Cool Blue,128,6,5000,50MP,16MP,False,16.76,Mediatek Dimensity 810,16999.0
288,MOTOROLA g42,Atlantic Green,64,4,5000,50MP,16MP,False,16.43,Qualcomm Snapdragon 680,13999.0
289,POCO M4 5G,Cool Blue,128,6,5000,50MP,8MP,False,16.71,Mediatek Dimensity 700,13999.0
290,realme C33,Night Sea,32,3,5000,50MP,5MP,False,16.51,Unisoc T612,8999.0
291,realme C33,Aqua Blue,32,3,5000,50MP,5MP,False,16.51,Unisoc T612,8999.0
292,realme Narzo 50i Prime,Dark Blue,64,4,5000,8MP,5MP,False,16.51,Unisoc T612 processor,8995.0
293,Infinix Zero 20,Green Fantasy,128,8,4500,108MP,60MP,False,17.02,Mediatek G99,15999.0
294,Infinix Zero 20,DEEP GRAY,128,8,4500,108MP,60MP,False,17.02,Mediatek G99,15999.0
295,realme 8,Punk Black,128,4,5000,64MP,16MP,False,16.26,MediaTek Helio G95,13499.0
296,realme C33,Night Sea,64,4,5000,50MP,5MP,False,16.51,Unisoc T612,9999.0
297,realme C33,Sandy Gold,64,4,5000,50MP,5MP,False,16.51,Unisoc T612,9999.0
298,realme C33,Aqua Blue,64,4,5000,50MP,5MP,False,16.51,Unisoc T612,9999.0
299,realme 8,Cyber Black,128,8,5000,64MP,16MP,False,16.26,MediaTek Helio G95,15499.0
300,vivo Y35,Dawn Gold,128,8,5000,50MP,16MP,False,16.71,Qualcomm Snapdragon 680,16999.0
301,vivo Y35,Agate Black,128,8,5000,50MP,16MP,False,16.71,Qualcomm Snapdragon 680,16999.0
302,MOTOROLA Edge 30,Aurora Green,128,8,4020,50MP,32MP,False,16.64,Qualcomm Snapdragon 778G Plus,24999.0
303,MOTOROLA g72,Polar Blue,128,6,5000,108MP,16MP,False,16.64,Mediatek Helio G99,16999.0
304,MOTOROLA g52,Charcoal Grey,64,4,5000,50MP,16MP,False,16.76,Qualcomm Snapdragon 680,11249.0
305,MOTOROLA Edge 30 Fusion,Cosmic grey,128,8,4400,50MP,32MP,False,16.64,Qualcomm Snapdragon 888 +,13499.0
306,REDMI K50i 5G,Quick Silver,128,6,5080,64MP,16MP,False,16.76,Dimensity 8100,21174.0
307,Infinix Note 12,Force Black,64,4,5000,50MP,16MP,True,17.02,MediaTek Helio G88,10999.0
308,Google Pixel 7a,Sea,128,8,4300,64MP,13MP,False,16.71,Tensor G2,13499.0
309,Google Pixel 7a,Charcoal,128,8,4300,64MP,13MP,False,16.71,Tensor G2,13499.0
310,Tecno Spark 9,Infinity Black,64,4,5000,13MP,8MP,False,16.76,MediaTek Helio G37,7993.0
311,Tecno Spark 9,Sky Mirror,64,4,5000,13MP,8MP,False,16.76,MediaTek Helio G37,8069.0
312,MOTOROLA Edge 30,Meteor Grey,128,8,4020,50MP,32MP,False,16.64,Qualcomm Snapdragon 778G Plus,24999.0
313,OPPO Reno8T 5G,Sunrise Gold,128,8,4800,108MP,32MP,False,17.02,Qualcomm Snapdragon 695,29999.0
314,SAMSUNG Galaxy A14 5G,Dark Red,64,4,5000,50MP,13MP,False,16.76,SEC S5E8535 (Exynos 1330),16499.0
315,MOTOROLA g13,Matte Charcoal,64,4,5000,50MP,8MP,False,16.51,Helio G85,9499.0
316,REDMI Note 12 Pro 5G,Glacier Blue,128,8,5000,50MP,16MP,False,16.94,Mediatek Dimensity 1080,25999.0
317,POCO F5 5G,Electric Blue,256,8,5000,64MP,16MP,False,16.94,Qualcomm Snapdragon 7+ Gen 2 (4nm),29999.0
318,SAMSUNG Galaxy A14 5G,Black,128,6,5000,50MP,13MP,False,16.76,SEC S5E8535 (Exynos 1330),18999.0
319,OPPO Reno8T 5G,Midnight Black,128,8,4800,108MP,32MP,False,17.02,Qualcomm Snapdragon 695,29999.0
320,SAMSUNG Galaxy A14 5G,Light Green,128,6,5000,50MP,13MP,False,16.76,SEC S5E8535 (Exynos 1330),18999.0
321,Infinix Note 12,Force Black,128,6,5000,50MP,16MP,True,17.02,MediaTek Helio G88,12999.0
322,SAMSUNG Galaxy F23 5G,Aqua Blue,128,4,5000,50MP,8MP,False,16.76,Qualcomm Snapdragon 750G,15999.0
323,POCO C31,Shadow Gray,64,4,5000,13MP,5MP,False,16.59,MediaTek Helio G35,8999.0
324,REDMI 10,Pacific Blue,64,4,6000,50MP,5MP,False,17.02,Qualcomm Snapdragon 680,9499.0
325,POCO X2,Atlantis Blue,64,6,4500,64MP,20MP,False,16.94,Qualcomm Snapdragon 730G,17999.0
326,POCO F5 5G,Snowstorm White,256,6,5000,64MP,16MP,False,16.94,Qualcomm Snapdragon 7+ Gen 2 (4nm),13499.0
327,Google Pixel 7a,Snow,128,8,4300,64MP,13MP,False,16.71,Tensor G2,13499.0
328,nothing phone 1,White,128,8,4500,50MP,16MP,False,16.64,Qualcomm Snapdragon 778G+,30499.0
329,Google Pixel 6a,chalk,128,8,4500,50MP,16MP,False,16.64,Qualcomm Snapdragon 778G+,30999.0
330,I Kall Z19Pro Flash blue,Flash Blue,64,4,5000,13MP,8MP,False,16.51,Octa Core,7999.0
331,MOTOROLA G32,Satin Silver,64,4,5000,50MP,16MP,False,16.64,Qualcomm Snapdragon 680,10999.0
332,Tecno Spark 9T,Turquoise Cyan,64,4,5000,50MP,8MP,False,16.76,MediaTek Helio G35,9290.0
333,POCO M4 Pro 5G,Yellow,64,4,5000,50MP,16MP,False,16.76,Mediatek Dimensity 810,14999.0
334,Tecno Spark 9T,Iris Purple,64,4,5000,50MP,8MP,False,16.76,MediaTek Helio G35,8449.0
335,Infinix Zero 5G 2023 TURBO,Pearly White,256,8,5000,50MP,16MP,False,16.71,Mediatek Dimensity 1080,17999.0
336,Tecno Spark 9T,Tahiti Gold,64,4,5000,50MP,8MP,False,16.76,MediaTek Helio G35,8495.0
337,Infinix Zero 5G 2023 TURBO,Submariner Black,256,8,5000,50MP,16MP,False,16.71,Mediatek Dimensity 1080,17999.0
338,I Kall Z19Pro,Blue,64,4,5000,13MP,8MP,False,16.51,Octa Core,7999.0
339,vivo Y16,Steller Black,64,4,5000,13MP,5MP,False,16.54,Mediatek Helio P35,11999.0
340,vivo Y16,Drizzling Gold,64,3,5000,13MP,5MP,False,16.54,Mediatek Helio P35,10499.0
341,vivo Y16,Steller Black,128,4,5000,13MP,5MP,False,16.54,Mediatek Helio P35,12999.0
342,nothing phone 1,Black,128,8,4500,50MP,16MP,False,16.64,Qualcomm Snapdragon 778G+,29499.0
343,REDMI K50i 5G,Stealth Black,128,6,5080,64MP,16MP,False,16.76,Dimensity 8100,20998.0
344,Tecno Spark 9T,Turquoise Cyan,64,4,5000,50MP,8MP,False,16.76,MediaTek Helio G35,9290.0
345,REDMI K50i 5G,Quick Silver,256,8,5080,64MP,16MP,False,16.76,Dimensity 8100,23999.0
346,OPPO A78 5G,Glowing Black,128,8,5000,13MP,5MP,False,16.66,Android,19280.0
347,Tecno Spark 9T,Atlantic Blue,64,4,5000,50MP,8MP,False,16.76,MediaTek Helio G35,8649.0
348,Infinix Zero 5G 2023 TURBO,Coral Orange,256,8,5000,50MP,16MP,False,16.71,Mediatek Dimensity 1080,17999.0
349,vivo Y16,Steller Black,64,3,5000,13MP,5MP,False,16.54,Mediatek Helio P35,10999.0
350,POCO X4 Pro 5G,Laser Black,128,8,5000,64MP,16MP,False,16.94,Qualcomm Snapdragon 695 5G,19499.0
351,realme Narzo 50i,Carbon Black,64,4,5000,8MP,5MP,False,16.51,SC9863A,9349.0
352,POCO X4 Pro 5G,Laser Black,128,8,5000,64MP,16MP,False,16.94,Qualcomm Snapdragon 695 5G,19499.0
353,Tecno Spark Go 2023,Endless Black,64,4,5000,13MP,5MP,False,16.66,"2GHz, Quad Core ",8288.0
354,REDMI 10 Prime 2022,Astral White,64,4,6000,50MP,13MP,False,16.51,Helio G88,12272.0
355,Tecno Spark Go 2023,Endless Black,32,3,5000,13MP,5MP,False,16.66,"2GHz, Quad Core ",6794.0
356,SAMSUNG Galaxy A23 5G,Light Blue,128,6,5000,50MP,8MP,False,16.76,Qualcomm Snapdragon 695 (SM6375),21999.0
357,SAMSUNG Galaxy A14 5G,Dark Red,128,6,5000,50MP,13MP,False,16.76,SEC S5E8535 (Exynos 1330),18999.0
358,REDMI Note 12 Pro+ 5G,Obsidian Black,256,4,4980,200MP,16MP,False,16.94,Mediatek Dimensity 1080,13499.0
359,realme C35,Glowing Black,64,4,5000,50MP,8MP,False,16.76,Unisoc Tiger T616,9699.0
360,realme C35,Glowing Black,128,4,5000,50MP,8MP,False,16.76,Unisoc Tiger T616,10699.0
361,MOTOROLA g22,Cosmic Black,64,4,5000,50MP,16MP,False,16.51,Mediatek Helio G37,10999.0
362,itel A60,VertMenthe,32,2,5000,8MP,5MP,False,16.76,Unisoc,5999.0
363,vivo Y16,Drizzling Gold,64,4,5000,13MP,5MP,False,16.54,Mediatek Helio P35,11999.0
364,vivo V23 5G,Stardust Black,256,4,4200,64MP,50MP,False,16.36,Mediatek Dimensity 920,27540.0
365,OnePlus Nord 2T 5G,Gray Shadow,128,8,4500,50MP,32MP,False,17.02,Oxygen OS,27877.0
366,SAMSUNG Galaxy A23 5G,Orange,128,6,5000,50MP,8MP,False,16.76,Qualcomm Snapdragon 695 (SM6375),21999.0
367,itel A60,SapphireBlack,32,2,5000,8MP,5MP,False,16.76,Unisoc,5990.0
368,itel A60,DawnBlue,32,2,5000,8MP,5MP,False,16.76,Unisoc,5999.0
369,REDMI K50i 5G,Phantom Blue,128,6,5080,64MP,16MP,False,16.76,Dimensity 8100,21499.0
370,POCO M4 Pro 5G,Cool Blue,128,8,5000,50MP,16MP,False,16.76,Mediatek Dimensity 810,15999.0
371,MOTOROLA G42,Metallic Rose,64,4,5000,50MP,16MP,False,16.43,Qualcomm Snapdragon 680,11980.0
372,Infinix Smart 6,Starry Purple,64,2,5000,8MP,5MP,False,16.76,Mediatek Helio A22,6999.0
373,Infinix Smart 6,Heart Of Ocean,64,2,5000,8MP,5MP,False,16.76,Mediatek Helio A22,6999.0
374,Infinix Smart 6,Light Sea Green,64,2,5000,8MP,5MP,False,16.76,Mediatek Helio A22,6999.0
375,Infinix Smart 6,Polar Black,64,2,5000,8MP,5MP,False,16.76,Mediatek Helio A22,6999.0
376,realme 10 Pro+ 5G,Nebula Blue,128,8,5000,108MP,16MP,False,17.02,Mediatek Dimensity 1080 5G,23999.0
377,realme 9i,Prism Blue,64,4,5000,50MP,16MP,False,16.76,Qualcomm Snapdragon 680 (SM6225),11999.0
378,realme 9i,Prism Black,128,4,5000,50MP,16MP,False,16.76,Qualcomm Snapdragon 680 (SM6225),13499.0
379,SAMSUNG Galaxy A14 5G,Light Green,64,4,5000,50MP,13MP,False,16.76,SEC S5E8535 (Exynos 1330),16499.0
380,SAMSUNG Galaxy A34 5G,Awesome Graphite,256,8,5000,48MP,13MP,False,16.76,"Dimensity 1080, Octa Core ",13499.0
381,realme Narzo N55,Prime Blue,64,4,5000,64MP,8MP,False,17.07,Mediatek Helio G88,11349.0
382,SAMSUNG Galaxy A34 5G,Awesome Silver,128,8,5000,48MP,13MP,False,16.76,"Dimensity 1080, Octa Core ",30999.0
383,OPPO A17k,Navy Blue,64,3,5000,8MP,5MP,False,16.66,Mediatek Helio P35,9499.0
384,OPPO A17K,Navy Blue,64,3,5000,8MP,5MP,False,16.66,Mediatek Helio G35,9790.0
385,OPPO A17k,Gold,64,3,5000,8MP,5MP,False,16.66,Mediatek Helio P35,9499.0
386,OnePlus Nord 2T 5G,Jade Fog,128,8,4500,50MP,32MP,False,17.02,Oxygen OS,28298.0
387,realme 10 Pro+ 5G,Dark Matter,128,8,5000,108MP,16MP,False,17.02,Mediatek Dimensity 1080 5G,23999.0
388,realme 10 Pro+ 5G,Hyperspace,128,8,5000,108MP,16MP,False,17.02,Mediatek Dimensity 1080 5G,23999.0
389,realme 10 Pro+ 5G,Nebula Blue,128,6,5000,108MP,16MP,False,17.02,Mediatek Dimensity 1080 5G,22999.0
390,realme 10 Pro+ 5G,Hyperspace,128,6,5000,108MP,16MP,False,17.02,Mediatek Dimensity 1080 5G,22999.0
391,realme 10 Pro+ 5G,Dark Matter,128,6,5000,108MP,16MP,False,17.02,Mediatek Dimensity 1080 5G,22999.0
392,POCO M4 Pro,Power Black,128,8,5000,64MP,16MP,False,16.33,Mediatek Helio G96,13999.0
393,Tecno Pop 5 Pro,Ice Blue,32,3,6000,8MP,5MP,False,16.56,Helio A22,7049.0
394,Tecno Pop 5 Pro,Deepsea Luster,32,3,6000,8MP,5MP,False,16.56,Helio A22,6960.0
395,SAMSUNG Galaxy M04,Dark Blue,128,4,5000,13MP,5MP,False,16.51,MediaTek Helio P35,9104.0
396,vivo V27 5G,Magic Blue,256,4,4600,50MP,50MP,False,16.71,Mediatek Dimensity 7200 5G,13499.0
397,REDMI 9 Activ,Carbon Black,128,6,5000,13MP,5MP,False,16.59,Mediatek Helio G35,9499.0
398,OPPO A77s,Sunset Orange,128,8,5000,50MP,8MP,False,16.66,Qualcomm Snapdragon 680,16499.0
399,realme C30s,Stripe Blue,32,2,5000,8MP,5MP,False,16.51,Unisoc SC9863A/ Unisoc SC9863A1,6999.0
400,MOTOROLA Edge 30 Ultra,Interstellar Black,256,4,4610,200MP,60MP,False,16.94,Qualcomm Snapdragon 8+ Gen 1,13499.0
401,SAMSUNG Galaxy A23 5G,Silver,128,6,5000,50MP,8MP,False,16.76,Qualcomm Snapdragon 695 (SM6375),21999.0
402,SAMSUNG Galaxy A14 5G,Dark Red,128,8,5000,50MP,13MP,False,16.76,SEC S5E8535 (Exynos 1330),20999.0
403,SAMSUNG Galaxy A34 5G,Awesome Graphite,128,8,5000,48MP,13MP,False,16.76,"Dimensity 1080, Octa Core ",30999.0
404,IQOO Neo 7 5G,Frost Blue,128,8,5000,64MP,16MP,False,16.71,Snapdragon 8 Gen 1,30385.0
405,vivo Y56 5G,Black Engine,128,8,5000,50MP,16MP,False,16.71,Mediatek Dimensity 700,19999.0
406,Infinix Note 12 5G,Snowfall,64,6,5000,50MP,16MP,True,17.02,Mediatek Dimensity 810 5G,14999.0
407,Infinix HOT 12 Play,Racing Black,64,4,6000,13MP,8MP,False,16.71,Unisoc T610,8999.0
408,POCO F5 5G,Electric Blue,256,4,5000,64MP,16MP,False,16.94,Qualcomm Snapdragon 7+ Gen 2 (4nm),13499.0
409,vivo Y75,Dancing waves,128,8,4050,50MP,44MP,False,16.36,Mediatek G96,19990.0
410,realme C30s,Stripe Black,32,2,5000,8MP,5MP,False,16.51,Unisoc SC9863A/ Unisoc SC9863A1,6999.0
411,POCO X4 Pro 5G,Laser Blue,128,8,5000,64MP,16MP,False,16.94,Qualcomm Snapdragon 695 5G,19499.0
412,realme Narzo 50A Prime,Flash Blue,128,4,5000,50MP,8MP,False,16.76,Unisoc T612,12900.0
413,SAMSUNG Galaxy A14 5G,Black,64,4,5000,50MP,13MP,False,16.76,SEC S5E8535 (Exynos 1330),16499.0
414,Tecno Spark 9,Sky Mirror,64,3,5000,13MP,8MP,False,16.76,MediaTek Helio G37,8990.0
415,realme NARZO 50A PRIME,FLASH BLUE,64,4,5000,50MP,8MP,False,16.76,Unisoc T612,10943.0
416,Google Pixel 7,Snow,128,8,4270,50MP,8MP,False,16.71,Google Tensor G2,13499.0
417,Google Pixel 7,Obsidian,128,8,4270,50MP,8MP,False,16.71,Google Tensor G2,13499.0
418,POCO F1,Steel Blue,64,6,4000,12MP,20MP,False,16.71,Qualcomm Snapdragon 845,13489.0
419,MOTOROLA Edge 30 Fusion,Solar Gold,128,8,4400,50MP,32MP,False,16.64,Qualcomm Snapdragon 888 +,13499.0
420,POCO F5 5G,Carbon Black,256,8,5000,64MP,16MP,False,16.94,Qualcomm Snapdragon 7+ Gen 2 (4nm),13499.0
421,vivo Y12G,Phantom Black,64,3,5000,13MP,8MP,False,16.54,Qualcomm Snapdragon 439,11209.0
422,REDMI Note 12 Pro 5G,Onyx Black,256,8,5000,50MP,16MP,False,16.94,Mediatek Dimensity 1080,26999.0
423,realme C30s,Stripe Black,64,4,5000,8MP,5MP,False,16.51,Unisoc SC9863A/ Unisoc SC9863A1,8499.0
424,realme C30s,Stripe Black,64,4,5000,8MP,5MP,False,16.51,Unisoc SC9863A/ Unisoc SC9863A1,8499.0
425,SAMSUNG Galaxy A14 5G,Black,128,8,5000,50MP,13MP,False,16.76,SEC S5E8535 (Exynos 1330),20999.0
426,Google Pixel 7,Lemongrass,128,8,4270,50MP,8MP,False,16.71,Google Tensor G2,13499.0
427,SAMSUNG Galaxy A23,Black,128,6,5000,50MP,8MP,False,16.76,Octa-core(EXYNOS),17499.0
428,vivo Y56 5G,Orange Shimmer,128,8,5000,50MP,16MP,False,16.71,Mediatek Dimensity 700,19999.0
429,vivo Y56 5G,Black Engine,128,4,5000,50MP,16MP,False,16.71,Mediatek Dimensity 700,17999.0
430,realme Narzo 50A,Oxygen Blue,64,4,6000,50MP,8MP,False,16.51,MediaTek Helio G85,11499.0
431,vivo Y75,Moonlight Shadow,128,8,4050,50MP,44MP,False,16.36,Mediatek G96,16988.0
432,vivo Y16,Stellar Black,128,4,5000,13MP,5MP,False,16.54,Mediatek Helio P35,12989.0
433,MOTOROLA g52,Metallic White,128,6,5000,50MP,16MP,False,16.76,Qualcomm Snapdragon 680,13999.0
434,vivo Y100 5G,Pacific Blue,128,8,4500,64MP,16MP,False,16.21,Mediatek Dimensity 900,23999.0
435,Redmi 9A Sport,Coral Green,32,2,5000,13MP,5MP,False,16.59,Helio G25,7190.0
436,Redmi 9A Sport,Coral Green,32,3,5000,13MP,5MP,False,16.59,Helio G25,7990.0
437,vivo Y100 5G,Pacific Blue,128,8,4500,64MP,16MP,False,16.21,Mediatek Dimensity 900,23999.0
438,SAMSUNG Galaxy A14 5G,Light Green,128,8,5000,50MP,13MP,False,16.76,SEC S5E8535 (Exynos 1330),20999.0
439,REDMI Note 11,Horizon Blue,64,4,5000,50MP,13MP,False,16.33,Snapdragon 680,12990.0
440,vivo V25 5G,Elegant Black,128,8,4500,64MP,50MP,False,16.36,Mediatek Dimensity 900,27999.0
441,SAMSUNG Galaxy A34 5G,Awesome Violet,256,8,5000,48MP,13MP,False,16.76,"Dimensity 1080, Octa Core ",13499.0
442,Infinix Note 12 5G,Force Black,64,6,5000,50MP,16MP,True,17.02,Mediatek Dimensity 810 5G,14999.0
443,MOTOROLA g42,Metallic Rose,64,4,5000,50MP,16MP,False,16.43,Qualcomm Snapdragon 680,13999.0
444,SAMSUNG Galaxy A34 5G,Awesome Violet,128,8,5000,48MP,13MP,False,16.76,"Dimensity 1080, Octa Core ",30999.0
445,SAMSUNG Galaxy S21 FE 5G,Olive Green,128,8,4500,12MP,32MP,False,16.26,snapdragon 888,13499.0
446,REDMI Note 11T 5G,Stardust White,128,8,5000,50MP,16MP,False,16.76,Mediatek Dimensity 810,19397.0
447,vivo V25 5G,Surfing Blue,128,8,4500,64MP,50MP,False,16.36,Mediatek Dimensity 900,27999.0
448,vivo Y16,Steller Black,32,3,5000,13MP,5MP,False,16.54,Mediatek Helio P35,10989.0
449,vivo Y16,Drizzling Gold,32,3,5000,13MP,5MP,False,16.54,Mediatek Helio P35,10989.0
450,realme X3 SuperZoom,Glacier Blue,256,3,4200,64MP,16MP,False,16.69,Qualcomm Snapdragon 855,17999.0
451,OPPO F21 Pro,Sunset Orange,128,8,4500,64MP,32MP,False,16.33,Qualcomm Snapdragon 680,20999.0
452,REDMI Note 11S,Space Black,128,6,5000,108MP,16MP,False,16.33,Mediatek Dimensity 810,16990.0
453,Infinix HOT 12 Play,Horizon Blue,64,4,6000,13MP,8MP,False,16.71,Unisoc T610,8999.0
454,vivo V23 5G,Stardust Black,128,8,4200,64MP,16MP,False,16.36,Mediatek Dimensity 920,29990.0
455,OnePlus 8,Interstellar Glow,256,8,4300,48MP,32MP,False,16.64,Qualcomm Snapdragon 865,13499.0
456,vivo Y1s,Aurora Blue,32,3,4030,13MP,5MP,False,16.71,MediaTek Helio P35,9387.0
457,OnePlus 8,Glacial Green,128,6,4300,48MP,16MP,False,16.64,Qualcomm Snapdragon 865,29790.0
458,OnePlus Nord,Blue Marble,128,8,4115,48MP,13MP,False,16.36,QualcommÂ® Snapdragonâ_x0084_¢ 765G,24999.0
459,OPPO A77s,Starry Black,128,8,5000,50MP,8MP,False,16.66,Qualcomm Snapdragon 680,16499.0
460,Nokia C01 Plus,Grey,16,2,3000,5MP,2MP,False,16.71,Unisoc SC9863A,5799.0
461,POCO M4 Pro,Power Black,128,6,5000,64MP,16MP,False,16.33,Mediatek Helio G96,16499.0
462,REDMI 10A SPORT,SLATE GREY,128,6,5000,13MP,5MP,False,16.59,Helio G25,10890.0
463,REDMI 10A SPORT,CHARCOAL BLACK,128,6,5000,13MP,5MP,False,16.59,Helio G25,10548.0
464,realme GT 2,Steel Black,256,2,5000,50MP,16MP,False,16.81,Qualcomm Snapdragon 888,13499.0
465,SAMSUNG Galaxy A54 5G,Awesome Graphite,256,8,5000,50MP,32MP,False,16.26,"Exynos 1380, Octa Core ",13499.0
466,Nokia C01 Plus,Blue,32,2,3000,5MP,2MP,False,16.71,Unisoc SC9863A,6299.0
467,vivo Y33s,Mirror Black,128,8,5000,50MP,16MP,False,16.71,MediaTek Helio G80,16990.0
468,vivo Y56 5G,Orange Shimmer,128,4,5000,50MP,16MP,False,16.71,Mediatek Dimensity 700,17999.0
469,realme Narzo N55,Prime Black,64,4,5000,64MP,8MP,False,17.07,MediaTek Helio G88,11490.0
470,realme Narzo 50A Prime,Flash Black,128,4,5000,50MP,8MP,False,16.76,MediaTek Helio G88,12599.0
471,REDMI Note 10S,Frost White,128,6,5000,64MP,13MP,False,16.33,Mediatek Helio G95,16499.0
472,realme X3 SuperZoom,Arctic White,256,6,4200,64MP,32MP,False,16.69,Qualcomm Snapdragon 855+,17999.0
473,vivo V23 5G,Sunshine Gold,128,8,4200,64MP,16MP,False,16.36,Mediatek Dimensity 920,13499.0
474,APPLE iPhone 11,Black,64,8,3110,12MP,12MP,False,16.71,ios,13499.0
475,vivo T1 Pro 5G,Turbo Black,128,8,4700,64MP,16MP,False,16.36,Qualcomm Snapdragon 778G 5G Mobile Platform,24999.0
476,vivo T1 Pro 5G,Turbo Cyan,128,6,4700,64MP,16MP,False,16.36,Qualcomm Snapdragon 778G 5G Mobile Platform,23999.0
477,Infinix Smart 5A,Midnight Black,32,2,5000,8MP,8MP,False,16.56,MediaTek Helio A20,7199.0
478,SAMSUNG Galaxy F23 5G,Copper Blush,128,4,5000,50MP,8MP,False,16.76,Qualcomm Snapdragon 750G,15999.0
479,POCO C31,Royal Blue,64,4,5000,13MP,5MP,False,16.59,MediaTek G35,8999.0
480,POCO C31,Royal Blue,64,4,5000,13MP,5MP,False,16.59,MediaTek G35,8999.0
481,MOTOROLA e22s,Eco Black,64,4,5000,16MP,8MP,False,16.51,Mediatek Helio G37,8940.0
482,vivo T1 Pro 5G,Turbo Cyan,128,8,4700,64MP,16MP,False,16.36,Qualcomm Snapdragon 778G,24999.0
483,Tecno Spark Go 2023,Uyuni Blue,64,4,5000,13MP,5MP,False,16.66,MediaTek Helio A22,8288.0
484,POCO C31,Royal Blue,32,3,5000,13MP,5MP,False,16.59,MediaTek Helio G35,8499.0
485,Infinix Hot 12 Pro,Halo White,64,6,5000,50MP,8MP,False,16.76,Unisoc T616,9999.0
486,SAMSUNG Galaxy A23,Peach,128,6,5000,50MP,8MP,False,16.76,Octa-core(EXYNOS),17499.0
487,REDMI 9i,Midnight Black,64,4,5000,13MP,5MP,False,16.59,MediaTek Helio G25,8999.0
488,REDMI Note 9,Scarlet Red,128,6,5020,48MP,13MP,False,16.59,MediaTek Helio G85,14999.0
489,MOTOROLA Edge 30 Ultra,Starlight White,256,6,4610,200MP,60MP,False,16.94,Qualcomm Snapdragon 8+ Gen 1,13499.0
490,vivo Y565G,Orange Shimmer,128,8,5000,50MP,16MP,False,16.71,MTK Dimensity 700,19979.0
491,SAMSUNG M53 5G,Deep Ocean Blue,128,6,5000,108MP,32MP,False,17.02,Mediatek Dimensity 900,23390.0
492,REDMI Note 10 Lite,Glacier White,128,6,5020,48MP,16MP,False,16.94,Qualcomm Snapdragon 720G,14385.0
493,APPLE iPhone 14 Plus,Midnight,128,6,4323,12MP,12MP,False,17.02,IOS,13499.0
494,vivo V25 Pro 5G,Pure Black,256,6,4830,64MP,32MP,False,16.66,Mediatek Dimensity 1300,30874.0
495,Infinix Hot 12 Pro,Lightsaber Green,128,8,5000,108MP,8MP,False,16.76,Unisoc T616,12999.0
496,vivo V25 Pro 5G,Sailing Blue,128,8,4830,64MP,32MP,False,16.66,Mediatek Dimensity 1300,13499.0
497,Infinix Hot 11,Emerald Green,64,4,5200,13MP,8MP,False,16.76,MediaTek Helio G70,9999.0
498,Infinix Hot 11,Silver Wave,64,4,5200,13MP,8MP,False,16.76,MediaTek Helio G70,9999.0
