,Model,Colour,Memory,RAM,Battery,Rear_camera_mp,Front_Camera_mp,AI_Lens,Mobile_Height,Processor,Price
81,realme C55,Sunshower,64,6,5000,64MP,8MP,False,17.07,Helio G88,11999.0
82,realme C55,Rainforest,128,8,5000,64MP,8MP,False,17.07,Helio G88,13999.0
83,realme C55,Rainy Night,64,6,5000,64MP,8MP,False,17.07,Helio G88,11999.0
84,realme C55,Rainforest,64,6,5000,64MP,8MP,False,17.07,Helio G88,11999.0
85,realme C55,Sunshower,64,4,5000,64MP,8MP,False,17.07,Helio G88,10999.0
86,realme C55,Rainforest,64,4,5000,64MP,8MP,False,17.07,Helio G88,10999.0
87,realme C55,Rainy Night,64,4,5000,64MP,8MP,False,17.07,Helio G88,10999.0
88,MOTOROLA G62 5G,Frosted Blue,128,8,5000,50MP,16MP,False,16.71,Qualcomm Snapdragon 695 5G,16499.0
89,SAMSUNG Galaxy F14 5G,B.A.E. Purple,128,6,6000,50MP,13MP,False,16.76,"Exynos 1330, Octa Core ",14490.0
90,SAMSUNG Galaxy F14 5G,B.A.E. Purple,128,4,6000,50MP,13MP,False,16.76,"Exynos 1330, Octa Core ",13490.0
91,SAMSUNG Galaxy F14 5G,B.A.E. Purple,128,4,6000,50MP,13MP,False,16.76,"Exynos 1330, Octa Core ",13490.0
92,REDMI 10,Caribbean Green,64,4,6000,50MP,5MP,False,17.02,Qualcomm Snapdragon 680,9499.0
93,REDMI 11 Prime,Peppy Purple,64,4,5000,50MP,8MP,False,16.71,Helio G99,9999.0
94,MOTOROLA g73 5G,Lucent White,128,8,5000,50MP,16MP,False,16.51,Mediatek Dimensity 930,16999.0
95,POCO M5,Icy Blue,64,4,5000,50MP,8MP,False,16.71,Mediatek Helio G99,12499.0
96,realme 10 Pro 5G,Dark Matter,128,8,5000,108MP,16MP,False,17.07,Qualcomm Snapdragon 695 5G,19999.0
97,realme 10 Pro 5G,Nebula Blue,128,6,5000,108MP,16MP,False,17.07,Qualcomm Snapdragon 695 5G,18999.0
98,Micromax IN 2C,Nebula Blue,128,6,800,0MP,0MP,False,16.71,SC6531E,1449.0
99,POCO M5,Power Black,128,6,5000,50MP,8MP,False,16.71,Mediatek Helio G99,14499.0
100,POCO M5,Yellow,128,6,5000,50MP,8MP,False,16.71,Mediatek Helio G99,14499.0
101,POCO M4 Pro 5G,Yellow,128,8,5000,50MP,16MP,False,16.76,Mediatek Dimensity 810,15999.0
